Date,Headline,Category
1/14/2018,madiro faces revolt in manicaland,Political
1/14/2018,kadzuras wife demands share before estate is wound up,Social
1/15/2018,reintroduce free primary education,Social
1/15/2018,we worked with chiwenga to topple mugabe chiefs,Political
1/15/2018,mugabe used excessive force to quash a rebellion dabengwa,Political
1/21/2018,zim illprepared for climate change,Social
1/21/2018,khupe mudzuri and chamisa who will take the mdct presidency,Political
1/21/2018,expats offer free heart testing at chinhoyi hospital,Social
1/21/2018,zec ready for elections says ziyambi,Political
1/21/2018,white farmer in bid  to get back farm,Political
1/21/2018,man granted peace against disrespectful son,Social
1/21/2018,mash west mourns roy bennett,Social
1/21/2018,ed faces internal revolt over polls,Political
1/21/2018,engagement might pay off for mnangagwa,Political
1/21/2018,potraz enhances ict access,Social
1/21/2018,gonese mocks govt over policy inconsistencies,Political
1/21/2018,cholera zim on high alert,Social
1/21/2018,police saga exposes ed chiwenga rift,Political
1/22/2018,isis can attack the olympic objects in south korea,Political
1/22/2018,flash floods harare pays huge price for wetlands destruction,Social
1/28/2018,sk moyo appointed acting information minister,Political
1/28/2018,opposition urged to embrace g40 to unseat zanu pf,Political
1/28/2018,potraz takes consumer rights campaign to mutoko,Social
1/28/2018,police arrest 50 touts daily in harare mpofu,Social
1/28/2018,junior police officers happy,Social
1/28/2018,opposition expresses misgivings over election preparedness,Political
1/28/2018,hrw wants electoral fairness assurance from mnangagwa,Political
1/28/2018,potential for zim to grow hope to rejoin commonwealth laing,Political
1/28/2018,fresh moves to arrest grace mugabe,Political
1/28/2018,three arrested for abusing command inputs,Social
1/28/2018,garanganga opens up on career,Social
1/28/2018,zec called to rein in zanu pf over voter registration slips,Political
1/28/2018,bulilima residents unhappy  with growth point location,Social
1/28/2018,crop munching pest raises hunger threat,Social
1/29/2018,global fund boon to national hiv response,Social
2/4/2018,woman bashed for bathing at night,Social
2/4/2018,sexstarved man gets protection order,Social
2/4/2018,suspected poachers  in police custody,Social
2/4/2018,give zacc money to avoid bribes says mps,Political
2/4/2018,ed chiwenga panic over mugabe,Political
2/4/2018,mugabe chiwenga duel bombshell,Political
2/4/2018,phd doing its part to stem cholera magaya,Social
2/4/2018,carl partners miss tourism zim on breeze fm show,Social
2/5/2018,zimbabwes wetlands under threat,Social
2/5/2018,are you sold out to the brand called you,Social
2/5/2018,chegutu cholera outbreak red cross intervenes,Social
2/11/2018,mudzuri chamisa speak on battle for mdct top post,Political
2/11/2018,parents challenge exam rewriting,Social
2/11/2018,eu un to observe polls ed,Political
